Border,Date,Measure,Value,Average
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,12388647,11719776
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicles,6327597,6285463
US-Mexico Border,12/01/2018 12:00:00 AM,Pedestrians,4319416,3873869
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,3878052,4047376
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicles,2005044,2171436
US-Mexico Border,12/01/2018 12:00:00 AM,Trucks,469397,538950
US-Canada Border,12/01/2018 12:00:00 AM,Trucks,410534,492485
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Full,321593,393109
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Full,277418,370626
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Full,174518,161444
US-Mexico Border,12/01/2018 12:00:00 AM,Bus Passengers,163284,155355
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Empty,147782,152146
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Empty,136378,131973
US-Canada Border,12/01/2018 12:00:00 AM,Bus Passengers,90296,142654
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Empty,58295,61045
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Empty,52383,53218
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Full,40776,42765
US-Canada Border,12/01/2018 12:00:00 AM,Pedestrians,20703,39370
US-Mexico Border,12/01/2018 12:00:00 AM,Buses,14129,13752
US-Canada Border,12/01/2018 12:00:00 AM,Train Passengers,12838,19646
US-Canada Border,12/01/2018 12:00:00 AM,Buses,4082,6083
US-Canada Border,12/01/2018 12:00:00 AM,Trains,1996,2007
US-Mexico Border,12/01/2018 12:00:00 AM,Trains,970,969
US-Mexico Border,12/01/2018 12:00:00 AM,Train Passengers,870,965
US-Mexico Border,12/01/2017 12:00:00 AM,Personal Vehicle Passengers,12939220,11979482
US-Mexico Border,12/01/2017 12:00:00 AM,Personal Vehicles,6604570,6417386
US-Mexico Border,12/01/2017 12:00:00 AM,Pedestrians,4084983,3703859
US-Canada Border,12/01/2017 12:00:00 AM,Personal Vehicle Passengers,3918120,4124055
US-Canada Border,12/01/2017 12:00:00 AM,Personal Vehicles,2033658,2215173
US-Mexico Border,12/01/2017 12:00:00 AM,Trucks,465722,516382
US-Canada Border,12/01/2017 12:00:00 AM,Trucks,415723,495257
US-Mexico Border,12/01/2017 12:00:00 AM,Truck Containers Full,320329,359950
US-Canada Border,12/01/2017 12:00:00 AM,Truck Containers Full,303972,371659
US-Mexico Border,12/01/2017 12:00:00 AM,Bus Passengers,153202,136509
US-Canada Border,12/01/2017 12:00:00 AM,Rail Containers Full,144333,147256
US-Mexico Border,12/01/2017 12:00:00 AM,Truck Containers Empty,142113,155191
US-Canada Border,12/01/2017 12:00:00 AM,Truck Containers Empty,119996,135903
US-Canada Border,12/01/2017 12:00:00 AM,Bus Passengers,101295,148384
US-Canada Border,12/01/2017 12:00:00 AM,Rail Containers Empty,58486,65687
US-Mexico Border,12/01/2017 12:00:00 AM,Rail Containers Empty,43734,48281
US-Mexico Border,12/01/2017 12:00:00 AM,Rail Containers Full,39599,42377
US-Canada Border,12/01/2017 12:00:00 AM,Pedestrians,16585,38664
US-Mexico Border,12/01/2017 12:00:00 AM,Buses,14483,14008
US-Canada Border,12/01/2017 12:00:00 AM,Train Passengers,13308,19838
US-Canada Border,12/01/2017 12:00:00 AM,Buses,4199,6428
US-Canada Border,12/01/2017 12:00:00 AM,Trains,1778,1894
US-Mexico Border,12/01/2017 12:00:00 AM,Train Passengers,1011,873
US-Mexico Border,12/01/2017 12:00:00 AM,Trains,918,958
US-Mexico Border,12/01/2016 12:00:00 AM,Personal Vehicle Passengers,12651731,11592916
